,feature_names,feature_weights
116,cefuroxim,0.4330407494554449
117,inflammatori,0.4326494510012746
118,guidanc,0.43092163741113243
119,wide,0.4296312809933675
120,month,0.42758857120851024
121,peopl,0.42447874422935944
122,doe,0.42341871020004074
123,obes,0.4231542476057193
124,inflamm,0.4218049191525361
125,niud,0.41754456612979923
126,nniosh,0.4174478952166967
127,hpv,0.4132437041403083
128,diabet,0.41017725575818237
129,abort,0.4085805354886836
130,nabort,0.4062915291814117
131,question,0.4055806908799531
132,sperm,0.404328358122701
133,healthi,0.3992297346811439
134,nnation,0.3985963519697332
135,chrome,0.39607998049481585
136,nset,0.39607998049481585
137,heel,0.3945753894636905
138,telemedicin,0.39213131659894573
139,weight,0.39148029808247437
140,provid,0.39091370430083244
141,florida,0.3908204066048134
142,placement,0.38751182373845877
143,niniti,0.3845189152637992
144,commun,0.384003438310295
145,year,0.3824581555805575
146,modal,0.3794455869407275
147,sti,0.3782996791510413
148,cruz,0.37647919654719375
149,person,0.3732033800970165
150,copper,0.37315122327940603
151,peripher,0.37266717238138986
152,donat,0.371646052922721
153,liver,0.36992801118302204
154,criteria,0.3666957287067956
155,xd,0.36547336174317474
156,team,0.36416245353312166
157,contain,0.3623890155401458
158,recommend,0.3603290365452533
159,revers,0.36024935407125525
160,ngo,0.36000007010584234
161,pearl,0.35581616423026824
162,cycl,0.3542945577793409
163,egg,0.35379212628460943
164,remov,0.35290128545893784
165,help,0.35215900885556434
166,cervic,0.3509929329993634
167,parenthood,0.3504752006703071
168,becom,0.3502075060738779
169,heart,0.34789692316370086
170,ntake,0.34290538349280864
171,varieti,0.3425173580186931
172,search,0.3424468057809861
173,collect,0.33953802721449666
174,throat,0.33928549513577616
175,student,0.3387836190453294
176,male,0.3385070301309414
177,screen,0.3380577609179324
178,special,0.33783063446714
179,begin,0.3372509896189417
180,nfind,0.3371639185984243
181,coalit,0.3367252447468879
182,progestin,0.33590833243220963
183,portal,0.33554310638212165
184,equiti,0.3347379955136634
185,ligat,0.334283520452995
186,nmayo,0.3319740062616352
187,nccc,0.33189998097715445
188,elig,0.33138925564805405
189,fertil,0.3309215768963929
190,nour,0.3294318994957169
191,viru,0.32926721320454627
192,dual,0.32900207361300093
